Start date,Start time,End date,End time,Start location,Start coordinates,End location,End coordinates,Duration (HH:MM),Distance(km),Efficiency(L/100km),Average speed(km/h),PHEV Fuel efficiency(L/100km),EV Distance(km)
"05/03/2023","14:17","05/03/2023","14:42","Ventnor Rd 1320,3922 Summerlands,Australia","-38.51683805555555,145.11797583333333","Marine Pde 151,3925 San Remo,Australia","-38.5212325,145.366565","00:25","24.0","7.7","59.0","7.7","4.2"
"05/03/2023","13:43","05/03/2023","13:58","Pyramid Rock Rd,3922 Ventnor,Australia","-38.52587805555556,145.2217636111111","Ventnor Rd 1320,3922 Summerlands,Australia","-38.51683055555556,145.11797611111112","00:15","13.1","9.1","58.0","9.1","2.7"
"05/03/2023","13:10","05/03/2023","13:25","Vista Pl 15,3925 Cape Woolamai,Australia","-38.52153555555556,145.33496166666666","Pyramid Rock Rd,3922 Ventnor,Australia","-38.525890555555556,145.221765","00:15","14.0","9.7","51.0","9.7","1.9"
"05/03/2023","12:24","05/03/2023","12:27","Broadbeach Rd 1,3925 Cape Woolamai,Australia","-38.53768138888889,145.33410055555555","Vista Pl 15,3925 Cape Woolamai,Australia","-38.52154,145.33491305555555","00:03","1.9","10.9","34.0","10.9","0.4"
"05/03/2023","11:32","05/03/2023","11:37","Phillip Island Rd 895,3925 Newhaven,Australia","-38.51498472222222,145.34863777777778","Broadbeach Rd 1,3925 Cape Woolamai,Australia","-38.53766666666667,145.33410916666668","00:05","3.7","10.4","42.0","10.4","0.5"
"05/03/2023","10:21","05/03/2023","11:23","Pebble Ave 19,3975 Melbourne,Australia","-38.07716861111111,145.2553738888889","Phillip Island Rd 895,3925 Newhaven,Australia","-38.51500138888889,145.34865305555556","01:02","79.6","4.7","81.0","4.7","33.7"
"04/03/2023","16:41","04/03/2023","16:44","Spray Cirt 13,3975 Melbourne,Australia","-38.068020555555556,145.2504863888889","Pebble Ave 19,3975 Melbourne,Australia","-38.07718194444445,145.25538972222222","00:03","1.3","0.0","21.0","0.0","1.3"
"04/03/2023","15:34","04/03/2023","16:28","Pebble Ave 21,3975 Melbourne,Australia","-38.07718527777778,145.25552055555556","Spray Cirt 13,3975 Melbourne,Australia","-38.068015833333334,145.2504847222222","00:54","48.9","3.4","56.0","3.4","32.7"
"03/03/2023","17:31","03/03/2023","17:58","Pebble Ave 21,3975 Melbourne,Australia","-38.07718833333333,145.25535555555555","Pebble Ave 19,3975 Melbourne,Australia","-38.0771675,145.25539","00:27","15.5","4.8","38.0","4.8","8.9"
"03/03/2023","15:30","03/03/2023","15:57","Riverend Rd 65,3175 Melbourne,Australia","-38.05024916666667,145.14888444444443","Pebble Ave 21,3975 Melbourne,Australia","-38.07720277777778,145.2553538888889","00:27","13.8","1.6","34.0","1.6","11.8"
"03/03/2023","14:44","03/03/2023","15:06","Pebble Ave 19,3975 Melbourne,Australia","-38.07716722222222,145.25539194444445","Riverend Rd 65,3175 Melbourne,Australia","-38.05025694444444,145.14886972222223","00:22","14.4","4.1","41.0","4.1","9.1"
"03/03/2023","08:43","03/03/2023","08:55","Boundary Ln 2,3201 Melbourne,Australia","-38.08300111111111,145.17788416666667","Pebble Ave 21,3975 Melbourne,Australia","-38.07720055555556,145.25535083333332","00:12","8.4","5.3","42.0","5.3","5.0"
